Subject,Content
환경/공원/상수도,"강서구 OO동 OO길 OO 옆에 있는 헌옷 수거함을 다른 곳이 옮겨 주세요..인도를 막고 있는데다가, OO에서 거주하시는 분들이 재활용쓰레기, 일반쓰레기를헌옷수거함 주변에 놓으셔서 인도를 지나가는데 많이 불펴합니다.예전부터 그 곳에 있었는데, 헌옷수거함을 놓으시더라도 사람들이 불편하지 않은 곳에 설치 하셨으면 합니다. 그리고 OO 사시는 분들고 재활용쓰레기나 일반쓰레기 내놓는 곳을 옮기셨으면 합니다. 쓰레기도 제대로 봉지에 담지 않아 인도가 많이 지저분하고 냄새도 많이 납니다."
문화/관광/체육/디자인,광화문 거주 주민입니다이런 페스티벌을 왜 광화문에서 하나요?서울시에는넓고 길고 수려한 한강공원도 있고서울 숲도 있고여의도 공원도 있고각종 공연시설도 있고상암에는 월드컵 경기장도 있고잠실도 있고어느 지역보다 문화 수용공간이 많은데왜 하필 광화문 한복판이어야 합니까?광장에만 초점을 맞추지말고주민들 배려좀 해주세요 제발요일년에 한번도 아니고일주일 내내 아침 저녁으로 행사라니요땅이울리고 창문이 덜덜 울리고길까지 막아가며 배려도 양해도 없는이 고문같은 페스티벌을일주일 내내 겪어야 하나요?제발 정신차려주세요광화문은 서울시 놀이터가 아닙니다다시는 광화문에서 이런 행사 하지마세요
환경/공원/상수도,종량제 50리터 쓰레기봉투의 크기가어떤 쓰레기통 기준으로 만들어졌는지잘 모르겠지만 시중에 판매되는왠만한 40~50리터 쓰레기통 둘레와 맞지 않아서너무 불편합니다. 입구 둘레를 너무 좁게 만들어서쓰레기통에 씌우려고 하면 찢어지거나 아예 안들어 갑니다.이렇게 시중에서 판매되는 일발 쓰레기통을 감안하여제작하였는지 모르겠지만 이는 일반인들의 삶에매우 불편한 영향을 초래하고 있습니다.꼭 개선되었으면 합니다.아울러 20리터 쓰레기통도 마찬가지 인 것 입니다.참고로 제가 사용해 보았던 쓰레기통은창신리빙 국민쓰레기통 50리터(http://itempage3.auction.co.kr/DetailView.aspx?itemno=B601425169 )와이케아 철제쓰레기통 40리터(https://smartstore.naver.com/timtim/products/404594881?NaPm=ct%3Djwpz3v8w%7Cci%3D558b70e8d968c6fb7b1fa3355ce1f318383753d8%7Ctr%3Dslsl%7Csn%3D253176%7Cic%3D%7Chk%3D86377031e1c2f6eba5ec0f1efdde30d5d4d86a23) 입니다.아무튼 종량제 쓰레기봉투관련하여 꼭 개선이 이루어졌으면 합니다.
교통,"서울대병원 앞에서 차없는거리 좀 안하면 좋겠습니다. 한시가 급한 응급환자가 가는 서울대병원 앞에서 차없는거리라고 차도를 다 막으면 응급환자는 돌아가야하나요? 응급환자보다 차없는 '감성'이 우선입니까? 슬로건이 걷자 서울? 이런것이던데, 인도로는 못걷습니까? 문화행사도 공원이나 광장은 뒀다가 뭐에 씁니까? 바로 옆에 마로니에공원이 넓게 있는데. 차도 막고 차 없으면 그냥 '느낌적으로' '감성충만'해지나요? 차도는 차가 다니는 곳입니다. 이게 반인륜적으로 느껴지나요? 아니요. 그 차를 탄 건 시민들입니다. 발이 아프고 무릎이 아픈 시민들도 이용하는 차도입니다. 그거 막아서 버스도 못다니게 하니까 인간적으로 느껴지나요? 차도가 사람한테 '돌아와서'??? 아니요. 차도로 들어오는 사람도 있지만, 차도에서 쫓겨나는 시민도 있다는거 생각해보면 좋겠습니다."
교통,남부터미널역안 화장실이 문짝등.많이 낡고 고장난칸도 있고불편합니다
경제/일자리,안녕하세요강남구 OO동에서 채소 농장을 하고 있습니다.작물 재배는 수입이 일정치 않아 농장 일 부분을 지자체 지원을 받아 체험농장을 운영 하려고 하면 농어촌체험지도사 자격 시험을 봐서 자격을 취득 해야한다고 하더라구요2019년 시험은 언제인지 접수 및 교육은 어디서 받는지 알려 주시면 검사 하겠습니다.결과 통보는 전화 후 문자로 통보 부탁드립니다.수고 하세요^^
환경/공원/상수도,조카랑 서울식물원 잔디밭에서 공놀이하면 안전요원이 쫒아냅니다.위협할정도로 하는것도 아닌데 시정해주세요
환경/공원/상수도,요즘은 백화점이나 마트에 가서 장을보면 상품을 구입하고 종량제 봉투에 담아 오는데 20L짜리 쇼핑봉투겸 종량제봉투는 너무 커서 쓰레기 버릴때 너무 불편해요.. 비싸게 주고 산 봉투에 봉투선까지 쓰레기를 담아 버리기는 하지만 이렇게 더운 날씨에 봉투를 문 밖에 오래 두고 버리는 것도 남한테 불편을 만들고.. 장바구니를 갖고 다니면 되긴 하겠지만 그렇지 않을때도 종종 있고 종량제봉투는 쓰레기 담기 위해서 사용을 하기 땜에 10L짜리 쇼핑봉투겸인 종량제봉투도 있었으면 좋겠어요사장에서도 검은비닐봉투 사용을 없앤다면 더욱더 10L짜리 쇼핑봉투겸인 종량제봉투가 있으면 더 낫지 않을까 싶어요.. 지금 20L짜리 쇼핑봉투경 종량제봉투 가격이 490원이니깐 10L짜리 숑핑봉투겸 종량는 250원으로 판매하면 좋을것 같기도 하고요..
안전/소방/민방위,"방 창문앞에 소화전 홀이. 있습니다.날이 더워져. 창문을 여니,차량이나 사람이 지날때마다. 덜컹거리는 소리가 들립니다.특히 밤에 오토바이나,트럭등이 지날때는 깜짝깜짝 놀라기도합니다.소화전 홀 뚜껑이 들떠있는 듯합니다.소리가 안날수있도록 부탁드립니다."
교통,"안녕하세요 서울지하철 5, 7호선 1차분 전동차들이 신형전동차로 교체된다고 들었습니다!~ 그리고 6호선 기존 전동차들도 조기에 신형전동차로 교체해주시기 바라며 신형전동차 수주와 동시에 무장애 전동차로 제작해주시기 바라며 무장애 전동차 도입과 동시에 무장애 역사들로 탈바꿈 해주시기 바랍니다!~ 그리고 역무원들이 장애인들이 지하철 이용할 때 도움이 필요하면 도움을 받을 수 있도록 해주시기 바라며 그리고 열차와 승강장 상이에 휠체어 바퀴와 발빠짐 사고가 발생하지 않도록 안전발판 설치들을 해주시기 바랍니다!~"
